case,Intervention,scale,outcome,weight
1,maps,farm,biodiversity,54
2,maps,farm,gender,20
3,maps,farm,resilience,58
4,maps,farm,income,38
5,maps,landscape,biodiversity,28
6,maps,landscape,gender,26
7,maps,landscape,resilience,42
8,maps,landscape,income,68
9,maps,national,biodiversity,32
10,maps,national,gender,72
11,maps,national,resilience,34
12,maps,national,income,46
13,maps,international,biodiversity,96
14,maps,international,gender,77
15,maps,international,resilience,94
16,maps,international,income,1
1,tech,farm,biodiversity,51
2,tech,farm,gender,65
3,tech,farm,resilience,92
4,tech,farm,income,15
5,tech,landscape,biodiversity,43
6,tech,landscape,gender,30
7,tech,landscape,resilience,15
8,tech,landscape,income,53
9,tech,national,biodiversity,96
10,tech,national,gender,2
11,tech,national,resilience,61
12,tech,national,income,72
13,tech,international,biodiversity,57
14,tech,international,gender,59
15,tech,international,resilience,41
16,tech,international,income,66
